,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,teams_name,name_player,player_position,vote,goal,assistance,penalties_scored_saved,missed_penalties,own_goal,admonitions,expulsion,fanta_voto,year,day
1,atalanta,Gollini P.,Por,6,"
		  			-
		  ",-,-,-,-,-,-,6,2018-20,1
2,atalanta,Gosens R.,Dif,6.5,"
-		  ",-,-,-,-,-,-,6.5,2018-20,1
3,atalanta,Toloi R.,Dif,7,"
-		  ",1,-,-,-,-,-,8,2018-20,1
4,atalanta,Masiello A.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
5,atalanta,Hateboer H.,Dif,7,"
1		  ",-,-,-,-,-,-,11.5,2018-20,1
6,atalanta,Djimsiti B.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
7,atalanta,Pasalic M.,Cen,6.5,"
1		  ",-,-,-,-,-,-,10.5,2018-20,1
8,atalanta,Freuler R.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
9,atalanta,De Roon M.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2018-20,1
10,atalanta,Gomez A.,Tre,8,"
2		  ",2,-,-,-,-,-,17,2018-20,1
11,atalanta,Barrow M.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
12,atalanta,Castagne T.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
13,atalanta,Pessina M.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2018-20,1
14,atalanta,Zapata D.,Att,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
15,bologna,Skorupski L.,Por,6,"
		  			-1
		  ",-,-,-,-,-,-,5,2018-20,1
16,bologna,Dijks M.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
17,bologna,Danilo L.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
18,bologna,Mattiello F.,Dif,6,"
-		  ",-,-,-,-,1,-,5.5,2018-20,1
19,bologna,Helander F.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
20,bologna,Gonzalez G.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
21,bologna,Dzemaili B.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
22,bologna,Poli A.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
23,bologna,Pulgar E.,Cen,5,"
-		  ",-,-,-,-,1,-,4.5,2018-20,1
24,bologna,Palacio R.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
25,bologna,Santander F.,Att,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
26,bologna,Nagy A.,Cen,4.5,"
-		  ",-,-,-,-,-,1,3.5,2018-20,1
27,bologna,Orsolini R.,Tre,-,"
-		  ",-,-,-,-,-,-,-,2018-20,1
28,bologna,Falcinelli D.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
29,cagliari,Cragno A.,Por,5.5,"
		  			-2
		  ",-,-,-,-,-,-,3.5,2018-20,1
30,cagliari,Farago P.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
31,cagliari,Romagna F.,Dif,6,"
-		  ",-,-,-,-,1,-,5.5,2018-20,1
32,cagliari,Lykogiannis C.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
33,cagliari,Ceppitelli L.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
34,cagliari,Barella N.,Cen,5,"
-		  ",-,-,-,-,1,-,4.5,2018-20,1
35,cagliari,Ionita A.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
36,cagliari,Castro L.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
37,cagliari,Cigarini L.,Cen,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
38,cagliari,Pavoletti L.,Att,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
39,cagliari,Farias D.,Att,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
40,cagliari,Pisacane F.,Dif,6,"
-		  ",-,-,-,-,1,-,5.5,2018-20,1
41,cagliari,Sau M.,Att,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
42,cagliari,Cerri A.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
43,chievo,Sorrentino S.,Por,7,"
		  			-2
		  ",-,-,-,-,-,-,5,2018-20,1
44,chievo,Cacciatore F.,Dif,6.5,"
-		  ",-,-,-,-,-,-,6.5,2018-20,1
45,chievo,Bani M.,Dif,5,"
-		  ",-,-,-,1,-,-,3,2018-20,1
46,chievo,Rossettini L.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
47,chievo,Tomovic N.,Dif,6,"
-		  ",-,-,-,-,1,-,5.5,2018-20,1
48,chievo,Depaoli F.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
49,chievo,Hetemaj P.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
50,chievo,Rigoni N.,Cen,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
51,chievo,Radovanovic I.,Cen,6,"
-		  ",-,-,-,-,1,-,5.5,2018-20,1
52,chievo,Giaccherini E.,Tre,7,"
1		  ",1,1,-,-,-,-,11.5,2018-20,1
53,chievo,Stepinski M.,Att,6.5,"
1		  ",-,-,-,-,-,-,9.5,2018-20,1
54,chievo,Seculin A.,Por,-,"
		  			-1
		  ",-,-,-,-,-,-,5,2018-20,1
55,chievo,Obi J.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2018-20,1
56,chievo,Djordjevic F.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
57,empoli,Terracciano P.,Por,6.5,"
		  			-
		  ",-,-,-,-,-,-,6.5,2018-20,1
58,empoli,Rasmussen J.,Dif,6,"
-		  ",-,-,-,-,1,-,5.5,2018-20,1
59,empoli,Di Lorenzo G.,Dif,6.5,"
-		  ",-,-,-,-,-,-,6.5,2018-20,1
60,empoli,Antonelli L.,Dif,6.5,"
-		  ",-,-,-,-,1,-,6,2018-20,1
